predict,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
predict,-121.5843102321,46.9193935868,2,3,-0.435592979192734,-2.059237241745,-1.73554253578186,-1.29148995876312,0.425131410360336,-1.53247702121735
predict,-121.82097,46.9216466667,6,9,2.14906978607178,3.378981590271,-0.983006238937378,2.20808267593384,-0.149332016706467,1.10090708732605
predict,-121.8314527778,46.9225166667,6,9,1.3149288892746,3.65409803390503,-0.949570417404175,1.97252643108368,-1.55765914916992,-0.496318578720093
predict,-121.8359305556,46.92215,6,9,1.0723842382431,3.67086672782898,-1.20784759521484,0.172149479389191,-0.456541746854782,1.76859951019287
predict,-121.83417549,46.9223976,6,9,1.24101579189301,3.73286366462708,-0.948380827903748,1.92052042484283,-1.23844063282013,-0.471835672855377
predict,-121.83773364,46.92076699,6,9,0.987441599369049,3.61904907226562,-0.92934250831604,1.91786122322083,-0.925981938838959,-0.253293097019196
predict,-121.83960888,46.91898767,6,9,0.568300366401672,3.67953562736511,-1.05053579807281,1.11620831489563,-0.456273972988129,-0.801815211772919
predict,-121.84012,46.9189716667,6,9,0.442226439714432,3.59801316261292,-0.867870032787323,2.37139081954956,-0.68428236246109,0.35495325922966
predict,-121.59852,46.9408633333,2,3,-0.137491881847382,-1.83219003677368,-1.71814239025116,-0.517635762691498,-1.05291759967804,1.54527139663696
predict,-121.5915366667,46.9513633333,2,6,-0.0861580073833466,-1.6959536075592,-1.55102562904358,2.54816555976868,1.31123387813568,0.524035274982452
predict,-121.5921033333,46.93237,2,6,-0.577222645282745,-2.00715160369873,-1.75115251541138,-0.646828711032867,-0.618439495563507,-1.6288560628891
predict,-121.5948633333,46.9276166667,2,3,-0.586066842079163,-2.10959386825562,-1.6892774105072,-1.12157332897186,-0.954220473766327,-1.09259188175201
predict,-121.58448,46.9194533333,2,3,-0.472937077283859,-2.05600118637085,-1.65935850143433,-0.915094077587128,0.200735330581665,-1.64793574810028
predict,-121.83947,46.7928116667,6,6,1.05197966098785,0.239572733640671,2.19109225273132,-0.216234490275383,-0.863682687282562,0.758782565593719
predict,-121.8842993304,46.9561335939,6,4,0.541789889335632,3.82972574234009,-1.04889500141144,1.36221289634705,1.54616606235504,1.0206755399704
predict,-121.771575,46.8039083333,6,9,3.10277128219604,-0.250496953725815,2.25009441375732,-1.46269512176514,1.51601243019104,1.28708076477051
predict,-121.8672415451,46.9375821267,6,4,-0.679097592830658,3.40025901794434,-1.06819188594818,-0.247200027108192,-0.737721025943756,0.988998293876648
predict,-121.8828075254,46.9565057964,6,3,0.36624950170517,3.81425547599792,-1.19594168663025,0.630793929100037,1.1340240240097,-0.532618165016174
predict,-121.6565360616,46.9114973258,2,9,0.353014886379242,-1.4690750837326,-1.47591125965118,0.868446230888367,-0.544039845466614,0.707732558250427
predict,-121.8353853935,46.785160387,6,4,0.128247767686844,0.177539393305779,1.7352933883667,-2.12612438201904,-1.00741541385651,0.959078252315521
predict,-121.8152383333,46.9255416667,6,9,1.7339950799942,3.23837018013,-1.23052227497101,-0.272155702114105,-0.146509259939194,0.738974869251251
predict,-121.6838383333,46.9170416667,6,1,0.979538083076477,-1.10460758209229,-1.65152215957642,-0.845734298229218,0.130947455763817,1.53420495986938
